ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000065559.15,MAP2K4,1209.588046,973.8233552,1219.125117,1313.548686,1303.810744,1128.416411,1422.244864,1220.090849,1028.434664,1403.372276
ENSG00000006740.18,ARHGAP44,43.24860777,66.82541499,5.609471398,11.43210345,49.8271622,32.64464062,44.12692896,68.29129393,44.7145506,47.6944234
ENSG00000006744.19,ELAC2,2226.960057,2351.454987,2189.563669,2229.260172,2048.845455,1980.441531,1892.026938,2295.150703,2115.637023,2308.121035
ENSG00000236088.12,COX10-DT,142.7890542,191.9088841,140.236785,110.8914034,212.3586199,214.3664734,137.1329177,96.45265224,160.9723822,112.7322735
ENSG00000006695.12,COX10,475.0481996,529.4629034,549.728197,548.7409654,573.0123653,538.6365702,467.7454469,475.9269556,637.5017357,440.812095
ENSG00000125430.9,HS3ST3B1,285.5781085,338.1251767,742.3200483,689.3558378,591.9941414,622.4244812,780.7072046,918.7643152,375.6022251,315.0722515
ENSG00000266709.1,lncRNA*10353,28.83240518,10.28083308,87.88171857,105.1753517,48.64080119,56.58404374,93.68486455,83.780041,16.60826165,82.38127678
ENSG00000230897.1,RPS18P12,16.4756601,13.13662004,13.0887666,9.145682757,11.86361005,18.49862969,10.18313745,12.67261124,2.555117177,5.78114223
ENSG00000205325.4,lncRNA*10357,65.90264041,99.95254379,87.88171857,70.87904137,39.14991316,72.90636405,10.18313745,35.2016979,51.10234354,176.324838
ENSG00000175106.17,TVP23C,59.03778204,27.41555487,39.26629979,36.58273103,36.77719115,42.43803281,47.52130811,40.12993561,52.37990213,54.92085118
ENSG00000241322.11,FBXW10B,215.556553,123.3699969,115.9290756,144.0445034,175.5814287,84.87606561,121.5187736,55.61868268,320.6672057,54.92085118
ENSG00000251537.4,protein_coding*435,26.77294767,22.27513833,22.43788559,16.00494483,11.86361005,15.23416562,10.86201328,6.336305622,28.10628895,7.226427787
ENSG00000221926.13,TRIM16,2789.878444,1108.6165,1875.433271,1196.941231,1392.78782,879.2289874,1933.438364,1421.444561,1706.818274,2228.63033
ENSG00000187607.16,ZNF286A,241.6430148,174.7741623,192.5918513,230.9284896,191.0041218,196.9559984,200.9472457,206.2819497,157.1397064,190.7776936
ENSG00000179277.9,MEIS3P1,148.9674268,186.7684675,259.9055081,249.2198551,131.6860715,168.6639765,167.68233,146.4390633,131.5885346,219.6834047
ENSG00000276855.1,lncRNA*10368,81.00532884,98.81022901,127.1480184,128.0395586,81.85890933,73.99451874,58.38332139,68.29129393,136.698769,101.169989
ENSG00000170425.4,ADORA2B,472.3022563,419.2295265,725.4916342,788.8151378,456.7489868,606.1021609,587.227593,689.9532788,435.6474787,885.9600467
ENSG00000214941.8,ZSWIM7,341.8699471,371.2523055,370.2251123,337.2470517,276.4221141,263.3334343,438.5537862,418.196171,324.4998815,356.9855327
