"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000130402.14","ACTN4",25826.6709734048,0.0282934962999867,0.12657749098062,0.223527074843968,0.823125313458388,0.999090242992625
"ENSG00000188725.8","SMIM15",1772.32802928607,0.0181994654278873,0.0814499406970694,0.223443568799825,0.823190298350688,0.999090242992625
"ENSG00000183048.12","SLC25A10",177.911300965268,-0.0466275516093087,0.208939642341318,-0.22316278082423,0.8234088180876,0.999090242992625
"ENSG00000104524.14","PYCR3",138.14437830305,0.0401869190834644,0.180141242261975,0.223085610928682,0.823468876995005,0.999090242992625
"ENSG00000109323.11","MANBA",1083.15656497209,-0.0218433439914383,0.098000108672889,-0.222891018053341,0.823620327111841,0.999090242992625
"ENSG00000279865.1","TEC*442",19.9130921599953,0.0970100135583846,0.435276099622343,0.222870067165537,0.823636633416175,0.999090242992625
"ENSG00000100276.10","RASL10A",7.83997350518264,-0.156844327515879,0.703922892858847,-0.222814642210152,0.823679771630185,NA
"ENSG00000291033.1","TXLNGY",465.400487173882,0.0327992478362404,0.147217632656587,0.222794289273425,0.823695612811233,0.999090242992625
"ENSG00000180488.17","MIGA1",705.97012734715,-0.0328441594038469,0.147420226325238,-0.222792762041935,0.823696801495198,0.999090242992625
"ENSG00000163820.16","FYCO1",1947.55567290728,0.0470757627998153,0.211299575833445,0.222791563182892,0.823697734598634,0.999090242992625
"ENSG00000136536.15","MARCHF7",3089.78905815871,0.0249961843035591,0.112221147857779,0.22274040838753,0.823737549949736,0.999090242992625
